model,ensemble_size,hidden_layers,hidden_units,weight_decay,data_noise,epochs,optimizer,loss_fn,learning_rate,ENCE,GNLLL,RMSE
anchored_batch,10,5,32,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,2.84961732228597,6.154630661010742
anchored_batch,10,5,64,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.531208594640096,7.20901616414388
anchored_batch,10,5,64,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.8804304599761963,6.28319517771403
anchored_batch,10,5,64,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,4.076668898264567,5.981833775838216
anchored_batch,10,5,64,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,11.094379901885986,6.059937477111816
anchored_batch,10,5,128,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.5441811084747314,6.821195125579834
anchored_batch,10,5,128,,0.001,1000,Adam,GaussianNLLLoss,0.001,,3.5595784187316895,5.832211812337239
anchored_batch,10,5,128,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,8.733853658040365,5.8630264600118
anchored_batch,10,5,128,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,14.105946858723959,5.866578261057536
anchored_batch,10,6,32,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.5139952500661216,7.388148466746013
anchored_batch,10,6,32,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.5992191632588706,6.740401426951091
anchored_batch,10,6,32,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,2.882636388142904,6.523413022359212
anchored_batch,10,6,32,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,3.8568638960520425,6.4816521008809405
anchored_batch,10,6,64,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.4838225841522217,6.9181294441223145
anchored_batch,10,6,64,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.8361483414967856,6.145101706186931
anchored_batch,10,6,64,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,4.0734570026397705,6.292866865793864
anchored_batch,10,6,64,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,7.538748264312744,6.021102110544841
anchored_batch,10,6,128,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.6710078716278076,6.72792927424113
anchored_batch,10,6,128,,0.001,1000,Adam,GaussianNLLLoss,0.001,,4.216512203216553,5.84995714823405
anchored_batch,10,6,128,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,7.148545583089192,5.689590136210124
anchored_batch,10,6,128,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,16.401554743448894,5.786251227060954
anchored_batch,10,7,32,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.478912432988485,7.165953795115153
anchored_batch,10,7,32,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.6624425252278647,6.58281946182251
anchored_batch,10,7,32,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,2.8225882053375244,6.446117242177327
anchored_batch,10,7,32,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,3.2093331019083657,6.286764780680339
anchored_batch,10,7,64,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.5034846464792886,6.919328371683757
anchored_batch,10,7,64,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.822025775909424,6.062041600545247
anchored_batch,10,7,64,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,3.9107486406962075,6.036413033803304
anchored_batch,10,7,64,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,5.529742399851481,6.137198289235433
anchored_batch,10,7,128,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.784687121709188,6.79205322265625
anchored_batch,10,7,128,,0.001,1000,Adam,GaussianNLLLoss,0.001,,4.718942801157634,6.070959409077962
anchored_batch,10,7,128,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,7.3197221755981445,5.852104028065999
anchored_batch,10,7,128,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,11.070034662882486,5.881096204121907
anchored_batch,10,8,32,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.4748125871022544,7.22463337580363
anchored_batch,10,8,32,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.584803660710653,6.8815813064575195
anchored_batch,10,8,32,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,2.8805692990620932,6.704718112945557
anchored_batch,10,8,32,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,3.583118200302124,6.488284269968669
anchored_batch,10,8,64,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.5401031176249185,6.795304934183757
anchored_batch,10,8,64,,0.001,1000,Adam,GaussianNLLLoss,0.001,,3.0697380701700845,6.197190761566162
anchored_batch,10,8,64,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,4.187459150950114,6.126738707224528
anchored_batch,10,8,64,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,6.064836819966634,6.214404424031575
anchored_batch,10,8,128,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.7081854343414307,6.3023420969645185
anchored_batch,10,8,128,,0.001,1000,Adam,GaussianNLLLoss,0.001,,5.072137753168742,5.861131985982259
anchored_batch,10,8,128,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,9.215691725413004,5.7410569190979
anchored_batch,10,8,128,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,12.506927490234375,5.873189767201741
anchored_batch,10,9,32,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.4651670455932617,7.280523300170898
anchored_batch,10,9,32,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.4631497859954834,6.714684804280599
anchored_batch,10,9,32,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,2.685301144917806,6.600934028625488
anchored_batch,10,9,32,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,3.1076605319976807,6.664468924204509
anchored_batch,10,9,64,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.5683319568634033,6.8120293617248535
anchored_batch,10,9,64,,0.001,1000,Adam,GaussianNLLLoss,0.001,,3.2562747796376548,6.000835100809733
anchored_batch,10,9,64,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,4.5633126099904375,6.000028610229492
anchored_batch,10,9,64,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,6.706180731455485,6.170278231302897
anchored_batch,10,9,128,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.784101406733195,6.383908112843831
anchored_batch,10,9,128,,0.001,1000,Adam,GaussianNLLLoss,0.001,,4.908412059148152,5.870797793070476
anchored_batch,10,9,128,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,8.320497512817383,5.872607707977295
anchored_batch,10,9,128,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,12.218944231669107,5.983311812082927
anchored_batch,10,10,32,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.4846272468566895,7.193541367848714
anchored_batch,10,10,32,,0.001,1000,Adam,GaussianNLLLoss,0.001,,2.4763599236806235,6.464766661326091
anchored_batch,10,10,32,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,2.7645707925160727,6.255796432495117
anchored_batch,10,10,32,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,2.8665407498677573,6.149860382080078
anchored_batch,10,10,64,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.5154148737589517,6.856962521870931
anchored_batch,10,10,64,,0.001,1000,Adam,GaussianNLLLoss,0.001,,3.321331342061361,6.021340529123942
anchored_batch,10,10,64,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,4.69947361946106,6.099721272786458
anchored_batch,10,10,64,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,6.002985000610352,5.992528120676677
anchored_batch,10,10,128,,0.01,1000,Adam,GaussianNLLLoss,0.001,,2.6336724758148193,6.210144996643066
anchored_batch,10,10,128,,0.001,1000,Adam,GaussianNLLLoss,0.001,,4.297097365061442,5.7641777992248535
anchored_batch,10,10,128,,0.0001,1000,Adam,GaussianNLLLoss,0.001,,5.856045564015706,5.876705010732015
anchored_batch,10,10,128,,1e-05,1000,Adam,GaussianNLLLoss,0.001,,11.098532835642496,5.629187107086182
